Title,Issue,Journal,Abstract,Link,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,JEL1,JEL2,JEL3,JEL4,JEL5,JEL6,JEL7,JEL8,JEL9,JEL10,JEL11,JEL12,JEL13,JEL14,JEL15,JEL16,JEL17,JEL18,JEL19,JEL20
Affirmative Action and Precollege Human Capital,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"Though racial affirmative action (AA) policies are widespread in college admissions, evidence on their effects before college is limited. We study a US Supreme Court ruling that reinstated AA in three states. Using nationwide SAT data, we separately identify positive effects of AA for Whites and underrepresented minorities. Using Texas administrative data, we find that AA narrowed racial gaps in grades, attendance, and college applications. Improvements in minorities precollege human capital and college applications are concentrated in the top half of the test score distribution among the students for whom the policy most increases the returns to human capital investment.",https://www.aeaweb.org/articles?id=10.1257/app.20210807,Mitra Akhtari,Natalie Bau,Jean-William Laliberté,,,,,,,,,,,,,,,,,,H75,I21,I23,I28,J15,J24,K10,,,,,,,,,,,,,
Estimating the Distaste for Price Gouging with Incentivized Consumer Reports,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"Thirty-four states prohibit price increases during emergencies, and individuals take costly actions to report violators. We measure experimentally the willingness to pay to report sellers who increase prices of personal protective equipment. Over 75 percent of subjects pay to report, even if others are willing to buy at those prices. We argue that reports contain information about a desire to prevent or punish third-party transactions at unfair or illicit prices. Reports are partially driven by a distaste for firm profits or markups, implying that the distribution of surplus between producers and consumers matters for welfare.",https://www.aeaweb.org/articles?id=10.1257/app.20210428,Justin Holz,Rafael Jiménez-Durán,Eduardo Laguna-Müggenburg,,,,,,,,,,,,,,,,,,C93,D22,D63,D91,H12,K22,,,,,,,,,,,,,,
The Unintended Consequences of Test-Based Remediation,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"School systems around the world use achievement tests to assign students to schools, classes, and instructional resources, including remediation. Using a regression discontinuity design, we study a Florida policy that places middle school students who score below a proficiency cutoff into remedial classes. Students scoring below the cutoff receive more educational resources, but they are also placed in classes that are more segregated by race, socioeconomic status, and prior achievement. Increased tracking occurs not only in the remedial subject, but in other core subjects. These tracking effects are significantly larger and more likely to persist beyond the year of remediation for Black students.",https://www.aeaweb.org/articles?id=10.1257/app.20210037,David Figlio,Umut Ozek,,,,,,,,,,,,,,,,,,,H75,I21,I28,J15,,,,,,,,,,,,,,,,
Reversing the Resource Curse: Foreign Corruption Regulation and the Local Economic Benefits of Resource Extraction,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"We examine how foreign corruption regulation affects the economic benefits communities receive from extraction activities in the resource-rich areas of Africa. After a mid-2000s increase in enforcement of the US Foreign Corrupt Practices Act (FCPA), nighttime luminosity increases by 15 percent (5 percent) in communities within a 10-kilometer (25-kilometer) radius of affected extraction facilities. Cash-wage employment also increases significantly, suggesting that the economic benefits are not limited to electricity access. Consistent with foreign corruption regulation mitigating the political resource curse, we find that perceived corruption decreases following the rise in FCPA enforcement.",https://www.aeaweb.org/articles?id=10.1257/app.20210408,Hans B. Christensen,Mark Maffett,Thomas Rauter,,,,,,,,,,,,,,,,,,D73,F23,K22,L14,O13,O17,Q31,,,,,,,,,,,,,
The Impact of Youth Medicaid Eligibility on Adult Incarceration,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"This paper identifies an important spillover associated with public health insurance: reduced incarceration. In 1990, Congress passed legislation that increased Medicaid eligibility for individuals born after September 30, 1983. We show that Black children born just after the cutoff are 5 percent less likely to be incarcerated by age 28, driven primarily by a decrease in incarcerations connected to financially motivated offenses. Children of other races, who experienced almost no gain in Medicaid coverage as a result of the policy, demonstrate no such decline. We find that reduced incarceration in adulthood substantially offsets the initial costs of expanding eligibility.",https://www.aeaweb.org/articles?id=10.1257/app.20200785,Samuel Arenberg,Seth Neller,Sam Stripling,,,,,,,,,,,,,,,,,,H51,I13,I18,I38,J15,K42,,,,,,,,,,,,,,
Does Exposure to Other Ethnic Regions Promote National Integration? Evidence from Nigeria,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"This paper examines how temporary exposure to a different ethnic region affects national integration, using original survey data from participants in Africa's largest national youth service program. Seven years later, participants randomly assigned to serve in a state with a different ethnic majority are five times more likely to live all across the country compared to those who served in their ethnic region. They have more interethnic romantic relationships and express greater national pride. Nevertheless, immersion in a different region strengthens participants' ethnic pride and favorable attitudes toward co-ethnics. The results suggest that national and ethnic identity can thrive together.",https://www.aeaweb.org/articles?id=10.1257/app.20210266,Oyebola Okunogbe,,,,,,,,,,,,,,,,,,,,D12,D91,J13,J15,O15,,,,,,,,,,,,,,,
At What Level Should One Cluster Standard Errors in Paired and Small-Strata Experiments?,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"In matched pairs experiments in which one cluster per pair of clusters is assigned to treatment, to estimate treatment effects, researchers often regress their outcome on a treatment indicator and pair fixed effects, clustering standard errors at the unit-of-randomization level. We show that even if the treatment has no effect, a 5 percent–level t-test based on this regression will wrongly conclude that the treatment has an effect up to 16.5 percent of the time. To fix this problem, researchers should instead cluster standard errors at the pair level. Using simulations, we show that similar results apply to clustered experiments with small strata.",https://www.aeaweb.org/articles?id=10.1257/app.20210252,Clément de Chaisemartin,Jaime Ramirez-Cuellar,,,,,,,,,,,,,,,,,,,C21,C90,G21,O16,O18,,,,,,,,,,,,,,,
Informed Enforcement: Lessons from Pollution Monitoring in China,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"Government regulations are often imperfectly enforced by public officials. In this study, we exploit the introduction of air pollution monitors in China to investigate whether real-time monitoring of policy outcomes affects the enforcement of existing regulations. Using assignment criteria established by the central government and new georeferenced data on local enforcement activities, we show that monitoring (i) increases enforcement against local firms, (ii) improves the targeting of enforcement, and (iii) reduces aggregate pollution. These effects are driven by officials facing performance incentives and are stronger when there is limited scope for data manipulation, suggesting that real-time monitoring improves top-down accountability.",https://www.aeaweb.org/articles?id=10.1257/app.20210386,Sebastian Axbard,Zichen Deng,,,,,,,,,,,,,,,,,,,K32,L51,O13,P25,P28,Q52,Q53,,,,,,,,,,,,,
The Marginal Returns to Distance Education: Evidence from Mexico's Telesecundarias,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"This paper analyzes a large-scale and long-running distance education program in Mexico. We estimate marginal treatment effects (MTEs) for learning in math and Spanish in telesecundarias relative to traditional Mexican secondary schools using an empirical framework that allows for unobserved sorting on gains. The estimated MTEs reveal that school choice is not random and that the average student experiences significant improvements in both math and Spanish after just one year of attendance in telesecundarias. We find that the existing policy reduces educational inequality, and our policy-relevant treatment effects show that expanding telesecundarias would yield significant improvements in academic performance.",https://www.aeaweb.org/articles?id=10.1257/app.20220065,Emilio Borghesan,Gabrielle Vase,,,,,,,,,,,,,,,,,,,I21,I24,I26,I28,O15,,,,,,,,,,,,,,,
Is It Who You Are or What You Get? Comparing the Impacts of Loans and Grants for Microenterprise Development,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,"Is the type of financial support provided to businesses more important than which businesses receive it? Loans and grants can lead to differences in optimal investments and in scope for moral hazard. We randomize 3,293 business loan applicants into receiving a loan, cash grant, in-kind grant, or nothing. All treatments equally increase income, yet there are large differences within a treatment group with impacts concentrated at the top of the distribution. Those who succeed with loans are observationally equivalent to those who succeed with grants, showcasing that owner heterogeneity is more important than the type of support received in microenterprise development.",https://www.aeaweb.org/articles?id=10.1257/app.20210683,Bruno Crépon,Mohamed El Komi,Adam Osman,,,,,,,,,,,,,,,,,,D22,D82,G32,H81,J16,M13,O16,,,,,,,,,,,,,
