Title,Issue,Journal,Abstract,Link,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,JEL1,JEL2,JEL3,JEL4,JEL5,JEL6,JEL7,JEL8,JEL9,JEL10,JEL11,JEL12,JEL13,JEL14,JEL15,JEL16,JEL17,JEL18,JEL19,JEL20
"Local Retail Prices, Product Variety, and Neighborhood Change","VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"We study how local grocery markets within a city are affected by changes in housing markets. Our empirical strategy exploits a shift in the spatial distribution of construction activity induced by a large-scale, place-based tax exemption in the city of Montevideo. The introduction of new housing stock induced by the policy causes a reduction in grocery prices of 2.3 percent and an increase in locally available product varieties. Using insights from a multiproduct model of imperfect competition and estimates for different types of stores, we show these changes are the result of incumbents' response to an increase in local demand.",https://www.aeaweb.org/articles?id=10.1257/pol.20210817,Fernando Borraz,Felipe Carozzi,Nicolás González- Pampillón,Leandro Zipitría,,,,,,,,,,,,,,,,,L81,O18,R22,R23,R31,R38,,,,,,,,,,,,,,
Behavioral Responses to State Income Taxation of High Earners: Evidence from California,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"Using administrative data, we analyze the response to Proposition 30, a 2012 measure that increased California marginal tax rates by up to 3 percentage points for high-income households. Relative to baseline departure rates, an additional 0.8 percent of the residential tax base that landed in the top bracket left California in 2013. Using matched out-of-state taxpayers as controls reveals an income elasticity with respect to the marginal net-of-tax rate of 2.5–3.2 for high earners who stayed. These responses eroded 45.2 percent of state windfall tax revenues within the first year and 60.9 percent within 2 years, driven largely by the intensive margin.",https://www.aeaweb.org/articles?id=10.1257/pol.20200500,Joshua Rauh,Ryan Shyu,,,,,,,,,,,,,,,,,,,D91,H24,H31,H71,H73,J61,R23,,,,,,,,,,,,,
Hassle Costs versus Information: How Do Prescription Drug Monitoring Programs Reduce Opioid Prescribing?,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"We study hassle costs versus information provision in explaining how prescription drug monitoring programs (PDMPs) decrease opioid prescribing. PDMPs aim to reduce opioid prescribing through information provision but may also unintentionally affect prescribing through the hassle of required record checks. We analyze Kentucky's landmark PDMP to disentangle these two mechanisms. Hassle costs reduce opioid prescribing across the board, including to opioid-naive patients; however, physicians continue to prescribe opioids to patients who would benefit the most. Although information also affects prescribing, hassle costs explain the majority of the decline. Introducing a cost to prescribing high-risk medications improves the targeting of treatment.",https://www.aeaweb.org/articles?id=10.1257/pol.20200579,Abby Alpert,Sarah Dykstra,Mireille Jacobson,,,,,,,,,,,,,,,,,,H75,I11,I12,I18,L65,,,,,,,,,,,,,,,
Fighting Crime in Lawless Areas: Evidence from Slums in Rio de Janeiro,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"We use Rio de Janeiro's slum pacification program initiated in 2008 to analyze the effect of policies targeting crime in lawless areas. We correct the bias from the unobserved rise in crime reporting via the use of a proxy variable and bounded variation assumptions. We find that the program reduced the murder and robbery rates but strongly increased the assault and threat rates. We explain these results by providing evidence that increased enforcement weakened the security service that gangs provide on their turf, and may incentivize criminals to switch from serious to less serious crimes.",https://www.aeaweb.org/articles?id=10.1257/pol.20200587,Christophe Bellégo,Joeffrey Drouard,,,,,,,,,,,,,,,,,,,H76,K14,K42,O17,O18,R23,,,,,,,,,,,,,,
Does Health Care Consolidation Harm Patients? Evidence from Maternity Ward Closures,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"We study how closures of maternity wards affect maternal and neonatal health. Using data on all hospital births in Sweden between 1990 and 2004, we compare changes in birth-related outcomes across hospital catchment areas that were differently exposed to ward closures. Our findings show that the closures increased maternal obstetric trauma but also decreased fetal stress and infant trauma among newborns. Adverse maternal outcomes are mainly driven by ward overcrowding, whereas increases in travel distance have no distinguishable effects. Positive effects on infant health reflect a shift of births from smaller to larger wards of higher quality.",https://www.aeaweb.org/articles?id=10.1257/pol.20200734,Daniel Avdic,Petter Lundborg,Johan Vikström,,,,,,,,,,,,,,,,,,D24,G34,I11,I12,I18,J13,J16,,,,,,,,,,,,,
Attendance Boundary Policies and the Limits to Combating School Segregation,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"What is the efficacy of redrawing school attendance boundaries as a desegregation policy? To provide causal evidence on this question, we employ novel data with unprecedented detail on the universe of Danish children and exploit changes in attendance boundaries over time. Households defy reassignments to schools with lower socioeconomic status. There is a strong social gradient in defiance, as resourceful households are more sensitive to the student composition of new schools. We simulate school assignment policies and find that boundary changes that reassign areas to a highly disadvantaged school are ineffective at altering the socioeconomic composition at the disadvantaged school.",https://www.aeaweb.org/articles?id=10.1257/pol.20200843,Andreas Bjerre-Nielsen,Mikkel Høst Gandil,,,,,,,,,,,,,,,,,,,D31,H75,I21,I24,I28,R23,,,,,,,,,,,,,,
Labor Supply Responses to Income Taxation among Older Couples: Evidence from a Canadian Reform,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"I assess whether the tax code is a viable policy lever for influencing labor supply among older workers. Specifically, using administrative data from Canada, I estimate the earnings responses to a unique reform that lowered tax burdens for couples with a pensioner, using quasi-experimental methods. I find that workers decrease labor supply as tax bills decline but do not respond to changes in marginal tax rates. Hence, while public policy often aims to keep people in the workforce longer, there are conflicting effects of offering tax advantage for seniors on work incentives. I consider implications of these results for age-dependent taxation.",https://www.aeaweb.org/articles?id=10.1257/pol.20210075,Derek Messacar,,,,,,,,,,,,,,,,,,,,H24,H31,H55,J14,J22,,,,,,,,,,,,,,,
Increasing the Retirement Age: Policy Effects and Underlying Mechanisms,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"We study the effects of increasing the statutory retirement age (SRA) in the Netherlands, using regression discontinuity design and administrative data on the universe of the population. We find clear and large employment effects of the reform. A simple model in which individuals stay longer in their pre-SRA labor market state predicts the treatment effects well. The employment level before the SRA and the retirement hazard at the SRA are the key determinants of the effects of the policy change. Exploring potential explanations for the high hazard rate observed in the Netherlands, our results point to an important role for employers' effects.",https://www.aeaweb.org/articles?id=10.1257/pol.20210101,Simon Rabaté,Egbert Jongen,Tilbe Atav,,,,,,,,,,,,,,,,,,H55,J14,J26,J32,,,,,,,,,,,,,,,,
The Impact of Improving Access to Support Services for Victims of Domestic Violence on Demand for Services and Victim Outcomes,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"We conducted a randomized controlled trial of an intervention designed to assist victims of domestic violence in accessing nonpolice support services. The intervention led to a 22 percent decrease in the fraction of victims providing a witness statement to police. Witness statements are an important piece of evidence and a key input in the prosecution of perpetrators. Despite this, we do not find a significant change in perpetrator arrests and convictions or in reported future violence. Survey responses provide evidence of an increase in nonpolice service use and a reduction in future victimization risk, but also a potential decrease in short-run well-being.",https://www.aeaweb.org/articles?id=10.1257/pol.20210131,Martin Foureaux Koppensteiner,Jesse Matheson,Réka Plugor,,,,,,,,,,,,,,,,,,H75,I31,J12,K14,K42,,,,,,,,,,,,,,,
Regulating Privacy Online: An Economic Evaluation of the GDPR,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,"Modern websites rely on personal data to design better content and to market themselves. The European Union's General Data Protection Regulation (GDPR) was intended to make access to such personal data more difficult, with the goal of protecting user privacy. We examine the GDPR's impact on website page views and revenue for 1,084 online firms using data from Adobe's website analytics platform. We find a reduction of 12 percent in both EU user website page views and website revenue recorded by the platform after the GDPR's enforcement deadline. We decompose these GDPR effects into changes in real outcomes and changes to data recording, respectively.",https://www.aeaweb.org/articles?id=10.1257/pol.20210309,Samuel G. Goldberg,Garrett A. Johnson,Scott K. Shriver,,,,,,,,,,,,,,,,,,D83,K24,L51,L86,L88,M31,M37,,,,,,,,,,,,,
