Title,Issue,Journal,Abstract,Link,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,JEL1,JEL2,JEL3,JEL4,JEL5,JEL6,JEL7,JEL8,JEL9,JEL10,JEL11,JEL12,JEL13,JEL14,JEL15,JEL16,JEL17,JEL18,JEL19,JEL20
Monetary Policy When the Phillips Curve Is Quite Flat,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"This paper highlights how the presence of a monetary policy cost channel can offer new insights into the relation between monetary policy and inflation when the Phillips curve is quite flat. For instance, we highlight a key condition whereby lax monetary policy can push the economy to a low-inflation trap, and we discuss how, under the same condition, standard policy rules targeting inflation may need to be modified. In the empirical part of the paper, we explore the relevance of the condition that gives rise to these observations. The results support the key condition we emphasize.",https://www.aeaweb.org/articles?id=10.1257/mac.20220088,Paul Beaudry,Chenyu Hou,Franck Portier,,,,,,,,,,,,,,,,,,E24,E31,E43,E52,,,,,,,,,,,,,,,,
Innovation-Led Transitions in Energy Supply,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"Generalizing models of directed technical change, I show that complementarities between innovations and factors of production (here, energy resources) can drive transitions away from a dominant sector. In a calibrated numerical implementation, the economy gradually transitions energy supply from coal to gas and then to renewable energy, even in the absence of policy. The welfare-maximizing tax on carbon emissions is J-shaped, immediately redirects most research to renewables, and rapidly transitions energy supply directly to renewables. The emission tax is twice as valuable as either the welfare-maximizing research subsidy or the welfare-maximizing mandate to use renewable resources.",https://www.aeaweb.org/articles?id=10.1257/mac.20200369,Derek Lemoine,,,,,,,,,,,,,,,,,,,,H23,O31,O33,Q35,Q41,Q54,,,,,,,,,,,,,,
The Impact of Extending Employment Protection to Agency Workers on Firms,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"We study the impact of a reform that extended employment protection to temporary agency workers. Using a difference-in-difference research design, we show that plants more exposed to the regulation experienced a decrease in revenues and total employment, and that the latter effect was attenuated in industries with high elasticity of substitution between agency and nonagency workers. We also find that labor misallocation increased as a consequence of the regulation. A model of labor demand in the presence of agency work rationalizes these results.",https://www.aeaweb.org/articles?id=10.1257/mac.20210249,Alejandro Micco,Pablo Muñoz,,,,,,,,,,,,,,,,,,,J22,J23,J31,K31,L60,M51,O15,,,,,,,,,,,,,
Immigrant Communities and Knowledge Spillovers: Danish Americans and the Development of the Dairy Industry in the United States,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"Despite the growing literature on the impact of immigration, little is known about the role existing migrant settlements can play for knowledge transmission and the location of industry. We present a case that can illustrate this important mechanism and hypothesize that nineteenth-century Danish American communities helped spread knowledge on modern dairying to rural America. From around 1880 Denmark developed rapidly, and by 1890 it was a world-leading dairy producer. Using a difference-in-differences strategy and data taken from the US census and Danish emigration archives, we find that counties with more Danes in 1880 subsequently both specialized in dairying and used more modern practices.",https://www.aeaweb.org/articles?id=10.1257/mac.20210074,Nina Boberg-Fazlić,Paul Sharp,,,,,,,,,,,,,,,,,,,J15,J61,L66,N31,N51,O33,Q12,,,,,,,,,,,,,
Wage Rigidity and Employment Outcomes: Evidence from Administrative Data,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"This paper examines the relationship between downward nominal wage rigidity and employment outcomes using linked employer-employee data. Wage rigidity prevents 27.1 percent of counterfactual wage cuts, with a standard deviation of 19.2 percent across establishments. An establishment with the sample-average level of wage rigidity is predicted to have a 3.3 percentage point higher layoff rate, a 7.4 percentage point lower quit rate, and a 2.0 percentage point lower hire rate. Estimating a structural model by indirect inference implies that the cost of a nominal wage cut is 33 percent of an average worker's annual compensation.",https://www.aeaweb.org/articles?id=10.1257/mac.20200125,Gabriel Ehrlich,Joshua Montes,,,,,,,,,,,,,,,,,,,E24,J23,J31,J63,M51,,,,,,,,,,,,,,,
Homeownership and Portfolio Choice over the Generations,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"Earnings are riskier and more unequal for households born in the 1960s and 1980s than for those born in the 1940s. Despite improvements in financial conditions, younger generations are less likely to be living in their own homes than older generations at the same age. By using a life cycle model with housing and portfolio choice that includes flexible earnings risk and aggregate asset price risk, I show that changes in earnings dynamics account for a large part of the reduction in homeownership across generations. Lower-income households find it harder to buy housing and, as a result, accumulate less wealth.",https://www.aeaweb.org/articles?id=10.1257/mac.20200473,Gonzalo Paz-Pardo,,,,,,,,,,,,,,,,,,,,D15,G51,J31,R21,R31,,,,,,,,,,,,,,,
A Congestion Theory of Unemployment Fluctuations,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"We propose a theory of unemployment fluctuations in which new hires and incumbent workers are imperfect substitutes. Hence, attempts to hire away the unemployed during recessions diminish the marginal product of new hires, discouraging job creation. This single feature achieves a tenfold increase in the volatility of hiring in an otherwise standard search model, produces a realistic Beveridge curve despite countercyclical separations, and explains 30–40 percent of US unemployment fluctuations. Additionally, it explains the excess procyclicality of new hires' wages, the cyclical labor wedge, countercyclical earnings losses from job displacement, and the limited steady-state effects of unemployment insurance.",https://www.aeaweb.org/articles?id=10.1257/mac.20210171,Yusuf Mercan,Benjamin Schoefer,Petr Sedláček,,,,,,,,,,,,,,,,,,E24,E32,J22,J23,J31,J63,,,,,,,,,,,,,,
Government Borrowing and Crowding Out,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"We investigate the impact of fiscal expansions on firm investment by exploiting firms with multiple banking relationships. Further, we conduct a localized approach and compare the lending behavior of banks that barely met and missed the criteria of being a primary dealer, as well as barely winners and losers at government auctions. Our results indicate that a 1 percentage point increase in primary dealer banks' bonds-to-assets ratio decreases loans by 0.2 percent, which leads to declines in firm investment, profits, and wages. Our findings are grounded in a quantitative model with which we compute the cost of borrowing on the economy.",https://www.aeaweb.org/articles?id=10.1257/mac.20200273,Yasin Kürşat Önder,Sara Restrepo-Tamayo,Maria Alejandra Ruiz-Sanchez,Mauricio Villamizar-Villegas,,,,,,,,,,,,,,,,,D22,E12,E23,G21,G32,H63,O11,,,,,,,,,,,,,
Scarred Consumption,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"We show that prior lifetime experiences can ""scar"" consumers. Consumers who have lived through times of unemployment exhibit persistent pessimism about their future financial situation and spend significantly less years later, controlling for income, employment, and other life-cycle consumption factors. Due to their experience-induced frugality, scarred consumers build up more wealth. We use a stochastic life-cycle model to show that financial constraints and traditional models of income and unemployment scarring fail to generate the negative relationship between past experiences and consumption. Instead, the relationship is consistent with experience-based learning.",https://www.aeaweb.org/articles?id=10.1257/mac.20210387,Ulrike Malmendier,Leslie Sheng Shen,,,,,,,,,,,,,,,,,,,D12,D15,D91,E21,E24,G51,,,,,,,,,,,,,,
Firms' Precautionary Savings and Employment during a Credit Crisis,"VOL. 16, NO. 1, JANUARY 2024",AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,"Can the macroeconomic effects of credit supply shocks be large even when a small share of firms is credit constrained? I use UK firm-level accounting data to discipline a heterogeneous-firm model where the interaction between real and financial frictions induces precautionary cash holdings. In the data, firms increased their cash ratios during the Great Recession, and cash-intensive firms displayed higher employment growth. A tightening of firms' credit conditions generates the same dynamics in the model. Unconstrained firms preemptively respond to credit supply shocks; this precautionary channel, when appropriately quantified, crucially matters for the aggregate dynamics and firm-level patterns.",https://www.aeaweb.org/articles?id=10.1257/mac.20210269,Davide Melcangi,,,,,,,,,,,,,,,,,,,,D22,E24,E32,E44,G32,,,,,,,,,,,,,,,
