Title,Issue,Journal,Abstract,Link,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,JEL1,JEL2,JEL3,JEL4,JEL5,JEL6,JEL7,JEL8,JEL9,JEL10,JEL11,JEL12,JEL13,JEL14,JEL15,JEL16,JEL17,JEL18,JEL19,JEL20
Predicting Cooperation with Learning Models,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We use simulations of a simple learning model to predict cooperation rates in the experimental play of the indefinitely repeated prisoner's dilemma. We suppose that learning and the game parameters only influence play in the initial round of each supergame, and that after these rounds, play depends only on the outcome of the previous round. We find that our model predicts out-of-sample cooperation at least as well as models with more parameters and harder-to-interpret machine learning algorithms. Our results let us predict the effect of session length and help explain past findings on the role of strategic uncertainty.",https://www.aeaweb.org/articles?id=10.1257/mic.20220148,Drew Fudenberg,Gustav Karreskog Rehbinder,,,,,,,,,,,,,,,,,,,C57,C72,C73,D83,D91,,,,,,,,,,,,,,,
Social Connectedness and Information Markets,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"This paper investigates information quality in a simple model of socially connected information markets. Suppliers' payoffs derive from the fraction of consumers who see their stories. Consumers prefer to share and act only on high-quality information. Quality is endogenous and highest when social connectedness is neither too high nor too low. In highly connected markets, low-quality stories are widely seen, giving suppliers little incentive to invest in quality. Increasing the volume of misinformation and increasing consumers' costs of tuning in to suppliers' broadcasts can each increase equilibrium information quality.",https://www.aeaweb.org/articles?id=10.1257/mic.20220056,Rachel Kranton,David McAdams,,,,,,,,,,,,,,,,,,,D11,D82,D83,L82,Z13,,,,,,,,,,,,,,,
Innovation in Decentralized Markets: Technology versus Synthetic Products,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"Advances in market-clearing technology for multiple assets and synthetic products present alternative ways to leverage complementarities and substitutabilities in asset payoffs. This paper compares their equilibrium and welfare effects. In competitive markets, either instrument can mimic the efficient design. When traders have price impact, however, synthetic products and market-clearing technology provide separate instruments for impacting markets' performance and can generate synergies or trade-offs. Neither instrument can generally reproduce the other's payoffs state by state. Moreover, innovation in market clearing renders additional synthetic products nonredundant. Our analysis points to the advantages of each type of innovation while also exposing potential risks.",https://www.aeaweb.org/articles?id=10.1257/mic.20220138,Marzena Rostek,Ji Hee Yoon,,,,,,,,,,,,,,,,,,,D44,D47,G11,G12,G13,O31,,,,,,,,,,,,,,
Exit Dilemma: The Role of Private Learning on Firm Survival,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We study the exit of duopolists from a stochastically declining market. Firms privately learn about the market conditions from observing the stochastic arrival of customers, while exit decisions are publicly observed. A larger firm is more likely to have customers and hence has better information about the market conditions. We provide sufficient conditions for either the smaller or the larger firm to be the first to exit in the unique equilibrium. Because of observational learning, exiting may be a firm's dominant action since continuing operation would bring too optimistic news to the rival, leading it to further postpone its exit.",https://www.aeaweb.org/articles?id=10.1257/mic.20220037,Doruk Cetemen,Chiara Margaria,,,,,,,,,,,,,,,,,,,D21,D43,D83,L21,L25,,,,,,,,,,,,,,,
A Random Reference Model,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We provide two nested models of random reference-dependent choice in which the reference point is endogenously determined by random processes. Random choice behavior is due to random reference points, even though, from the decision-maker's viewpoint, choices are deterministic. Through a revealed preference exercise, we establish when and how one can identify the reference-dependent preferences and the random reference rule from observed choice data. We also present behavioral postulates that characterize the empirical content of our models. Lastly, we investigate an application of our model to Bertrand competition with differentiated products.",https://www.aeaweb.org/articles?id=10.1257/mic.20220089,Özgür Kibris,Yusufcan Masatlioglu,Elchin Suleymanov,,,,,,,,,,,,,,,,,,D11,D91,,,,,,,,,,,,,,,,,,
Weighted Utility and Optimism/Pessimism: A Decision-Theoretic Foundation of Various Stochastic Dominance Orders,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We show that a probability distribution likelihood ratio dominates another distribution if and only if, for every weighted utility function, the former is preferred over the latter. Likewise, a probability distribution hazard rate (or reverse hazard rate) dominates another distribution if and only if, the former is preferred by every optimistic (or pessimistic) decision maker.",https://www.aeaweb.org/articles?id=10.1257/mic.20220350,Tao Wang,Ehud Lehrer,,,,,,,,,,,,,,,,,,,D11,D83,,,,,,,,,,,,,,,,,,
Coordination in the Fight against Collusion,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"While antitrust authorities strive to detect, prosecute, and thereby deter collusive conduct, entities harmed by that conduct are also advised to pursue their own strategies to deter collusion. The implications of such delegation of deterrence have largely been ignored, however. In a procurement context, we find that buyers may prefer to accommodate rather than deter collusion among their suppliers. We also show that a multimarket buyer, such as a centralized procurement authority, may optimally deter collusion when multiple independent buyers would not, consistent with the view that ""large"" buyers are less susceptible to collusion.",https://www.aeaweb.org/articles?id=10.1257/mic.20220194,Elisabetta Iossa,Simon Loertscher,Leslie M. Marx,Patrick Re,,,,,,,,,,,,,,,,,D21,D43,D44,L12,L14,,,,,,,,,,,,,,,
Constructive versus Toxic Argumentation in Debates,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"Two debaters address an audience by sequentially choosing their information strategies. We compare the setting where the second mover reveals additional information (constructive argumentation) with the setting where the second mover obfuscates the first mover's information (toxic argumentation). We reframe both settings as constrained optimization of the first mover. We show that when the preferences are zero-sum or risk-neutral, constructive debates reveal the state, while toxic debates are completely uninformative. Moreover, constructive debates reveal the state under the assumption on preferences that capture autocratic regimes, whereas toxic debates are completely uninformative under the assumption on preferences that capture democratic regimes.",https://www.aeaweb.org/articles?id=10.1257/mic.20220114,Tymofiy Mylovanov,Andriy Zapechelnyuk,,,,,,,,,,,,,,,,,,,D72,D82,D83,,,,,,,,,,,,,,,,,
Anticompetitive Bundling When Buyers Compete,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"We study the profitability of bundling by an upstream firm that licenses technologies to downstream competitors and that faces competition for one of its technologies. In an otherwise standard ""Chicago-style"" model, the existence of downstream competition can make inefficient bundling profitable. Forcing downstream firms to use an inefficient technology reassures each one that it will face weak competition. This allows the upstream firm to extract more profit through its monopolized technology. A similar logic can make it profitable to degrade interoperability with rival technologies, even without foreclosing competition. Bundling is most profitable when downstream competition is intense and technologies complementary.",https://www.aeaweb.org/articles?id=10.1257/mic.20230051,Alexandre de Cornière,Greg Taylor,,,,,,,,,,,,,,,,,,,D21,D24,D43,D45,G34,L24,,,,,,,,,,,,,,
Intertemporal Altruism,"VOL. 16, NO. 1, FEBRUARY 2024",AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,"Most prosocial decisions involve intertemporal trade-offs. Yet, the timing of prosocial utility flows is ambiguous and bypassed by most models of other-regarding preferences. We study the behavioral implications of the time structure of prosocial utility, leveraging a conceptual distinction between consequence-dated and choice-dated utility flows. We conduct a high-stakes donation experiment that comprehensively characterizes discounting behavior in self–other trade-offs and allows us to identify different prosocial motives from their distinct time profiles. Our data can only be explained by a combination of choice- and consequence-dated prosocial utility. Both motives are pervasive and negatively correlated at the individual level.",https://www.aeaweb.org/articles?id=10.1257/mic.20210319,Felix Chopra,Armin Falk,Thomas Graeber,,,,,,,,,,,,,,,,,,D15,D64,D91,I12,L31,,,,,,,,,,,,,,,
