Title,Issue,Journal,Abstract,Link,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,JEL1,JEL2,JEL3,JEL4,JEL5,JEL6,JEL7,JEL8,JEL9,JEL10,JEL11,JEL12,JEL13,JEL14,JEL15,JEL16,JEL17,JEL18,JEL19,JEL20
Steady-State Social Distancing and Vaccination,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"This paper analyzes an economic-epidemiological model of infectious disease where it is possible to become infected more than once and individual agents make endogenous choices of social distancing and vaccine adoption. Protective actions adopted by any one person reduce future risks to other people. The positive externalities associated with these behaviors provide motivation for vaccine and social-distancing subsidies, but subsidizing one protective action reduces incentives for other protective actions. A vaccine subsidy increases vaccine adoption and reduces steady-state infection prevalence; a social distancing subsidy can either increase or reduce steady-state infection prevalence.",https://www.aeaweb.org/articles?id=10.1257/aeri.20220699,Christopher Avery,Frederick Chen,David McAdams,,,,,,,,,,,,,,,,,,D62,D91,I12,I18,,,,,,,,,,,,,,,,
Race and the Mismeasure of School Quality,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"In large urban districts, schools enrolling more White students tend to have higher performance ratings. We use an instrumental variables strategy leveraging centralized school assignment to explore this relationship. Estimates from Denver and New York City suggest that the correlation between school performance ratings and White enrollment shares reflects selection bias rather than causal school value added. In fact, value added in these two cities is essentially unrelated to White enrollment shares. A simple regression adjustment is shown to yield school ratings uncorrelated with race while predicting value added as well as or better than the corresponding unadjusted measures.",https://www.aeaweb.org/articles?id=10.1257/aeri.20220292,Joshua Angrist,Peter Hull,Parag A. Pathak,Christopher R. Walters,,,,,,,,,,,,,,,,,H75,I21,I24,I28,J15,,,,,,,,,,,,,,,
Wage Garnishment in the United States: New Facts from Administrative Payroll Records,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"Wage garnishment allows creditors to deduct money from workers' paychecks to repay defaulted debts. We document new facts about wage garnishment between 2014 and 2019 using data from a large payroll processor that distributes paychecks to approximately 20 percent of US private-sector workers. By 2019, over 1 in every 100 workers was being garnished for delinquent debt. The average garnished worker experiences garnishment for five months, during which approximately 11 percent of gross earnings is remitted to their creditor(s). The beginning of a garnishment is associated with an increase in job turnover but no intensive margin change in hours worked.",https://www.aeaweb.org/articles?id=10.1257/aeri.20220487,Anthony A. DeFusco,Brandon Enriquez,Maggie Yellen,,,,,,,,,,,,,,,,,,G51,J22,J63,,,,,,,,,,,,,,,,,
The Irrelevance of Fee Structures for Certification,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"In models of certification, possible restrictions on the nature of the fee structures are commonly analyzed. We show that they are irrelevant for the certifier's ability to maximize profits and trade efficiency. Our results establish that certification schemes involve two substitutable dimensions—the fee structure and the disclosure rule. In the context of a canonical unit good certification setup, these dimensions act as perfect substitutes for achieving trade efficiency and (monotone) distributions of rents; adjustments in the disclosure dimension can fully mitigate restrictions in the fee dimension, but these changes do affect market transparency.",https://www.aeaweb.org/articles?id=10.1257/aeri.20220698,Martin Pollrich,Roland Strausz,,,,,,,,,,,,,,,,,,,D82,D83,G24,G28,,,,,,,,,,,,,,,,
Real Effects of Markets on Politics: Evidence from US Presidential Elections,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"Despite the economic importance of the US stock market, there is strikingly little evidence of its impact on elections. Using county-level variation in stock market participation, we document the impact of market returns on election outcomes. High-participation counties are more likely to vote for the incumbent party when the market has performed well relative to low-participation counties. Our findings provide evidence of a novel channel through which stock market fluctuations could be transmitted into the real economy.",https://www.aeaweb.org/articles?id=10.1257/aeri.20220240,Alan D. Crane,Andrew Koch,Leming Lin,,,,,,,,,,,,,,,,,,D72,G12,G35,G41,G51,,,,,,,,,,,,,,,
Interest Rates and the Spatial Polarization of Housing Markets,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"Rising within-country differences in house values are a much-debated trend in the United States and internationally. Using new long-run regional data for 15 advanced economies, we show that standard explanations linking growing price dispersion to rent dispersion are contradicted by an important stylized fact: rent dispersion has increased far less than price dispersion. We propose a new explanation: a uniform decline in real risk-free interest rates can have heterogeneous spatial effects on house values. Falling real safe rates disproportionately push up prices in large agglomerations where initial rent-price ratios are low, leading to housing market polarization on the national level.",https://www.aeaweb.org/articles?id=10.1257/aeri.20220367,Francisco Amaral,Martin Dohmen,Sebastian Kohl,Moritz Schularick,,,,,,,,,,,,,,,,,E43,R21,R31,,,,,,,,,,,,,,,,,
The Marginal Disutility from Corruption in Social Programs: Evidence from Program Administrators and Beneficiaries,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"Concerns about fraud in welfare programs are common arguments worldwide against such programs. We conducted a survey experiment with over 28,000 welfare program administrators and over 19,000 beneficiaries in Indonesia to elicit the ""marginal disutility from corruption""—the trade-off between more generous social assistance and losses due to corruption. Merely mentioning corruption reduced perceived program success, equivalent to distributing more than 26 percentage points less aid. However, respondents were not sensitive to the amount of corruption—respondents were willing to trade off $2 of additional losses for an additional $1 distributed to beneficiaries. Program administrators and beneficiaries had similar assessments.",https://www.aeaweb.org/articles?id=10.1257/aeri.20230008,Arya Gaduh,Rema Hanna,Benjamin A. Olken,,,,,,,,,,,,,,,,,,D73,H53,I32,I38,O15,O17,,,,,,,,,,,,,,
Can Financial Incentives to Firms Improve Apprenticeship Training? Experimental Evidence from Ghana,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"We use a field experiment to test whether financial incentives can improve the quality of apprenticeship training. Trainers (firm owners) in the treatment group participated in a tournament incentive scheme where they received a payment based on their apprentices' rank-order performance on a skills assessment. Trainers in the control group received a fixed payment based on their apprentices' participation in the assessment. Performance on the assessment was higher in the treatment group. Two years later, treated apprentices scored 0.15σ higher on a low-stakes oral skills test and earned 24 percent more in total earnings, driven by higher self-employment profits.",https://www.aeaweb.org/articles?id=10.1257/aeri.20220696,Gabriel Brown,Morgan Hardy,Isaac Mbiti,Jamie McCasland,Isabelle Salcher,,,,,,,,,,,,,,,,D22,D82,J24,J31,M53,O12,,,,,,,,,,,,,,
Cash and Conflict: Large-Scale Experimental Evidence from Niger,"VOL. 6, NO. 1, MARCH 2024",AMERICAN ECONOMIC REVIEW: INSIGHTS,"Conflict undermines development, while adverse economic shocks, in turn, can increase conflict risk. Policy interventions such as cash transfers could attenuate conflict risk by raising poor households' opportunity costs. However, cash transfers may also trigger looting, and expanding government programs may attract attacks to undermine state legitimacy. We study the net effect across these forces based on the large-scale randomization of a government-led cash transfer program and georeferenced conflict events. Cash transfers did not yield greater pacification but—if anything—triggered a short-term increase in conflict events (by 0.63 percentage points), substantially driven by terrorist attacks by foreign rebel groups.",https://www.aeaweb.org/articles?id=10.1257/aeri.20230069,Patrick Premand,Dominic Rohner,,,,,,,,,,,,,,,,,,,D72,D74,H53,I38,O15,O17,,,,,,,,,,,,,,
Ghosting the Tax Authority: Fake Firms and Tax Fraud in Ecuador,"VOL. 5, NO. 4, DECEMBER 2023",AMERICAN ECONOMIC REVIEW: INSIGHTS,"An important but poorly understood form of firm tax evasion arises from ""ghost firms""—fake firms that issue fraudulent receipts so that their clients can claim false deductions. We provide a unique window into this global phenomenon using transaction-level tax data from Ecuador. Five percent of firms use ghost invoices annually. Among these firms, ghost transactions comprise 14 percent of purchases. Ghost transactions are prevalent among large firms and firms with high-income owners and exhibit suspicious patterns, such as bunching below financial system thresholds. An innovative enforcement intervention targeting ghost clients rather than ghosts themselves led to substantial tax recovery.",https://www.aeaweb.org/articles?id=10.1257/aeri.20220321,Paul Carrillo,Dave Donaldson,Dina Pomeranz,Monica Singhal,,,,,,,,,,,,,,,,,D22,H25,H26,K34,L25,O14,,,,,,,,,,,,,,
